종류,규칙,답변
질병,승모판폐쇄부전증상,"한밤중부터 새벽녘에 걸쳐서, 또는 운동이나 흥분한 후에 목이 막힌 듯이 건조한 기침이 나오는 것이 초기증상이다. 질병이 진행되면 기침이 심해지고 간격이 짧아지며 한밤중 내내 계속된다. 쉽게 피곤해지고 산책이나 운동을 싫어하며 주저앉거나 실신한다. 심장이 비대해지고 심한 경우에는 공 모양으로 변형되어 폐에도 영향을 미치기 때문에 호흡곤란이나 폐기종 등을 야기하거나 발작을 일으켜 쓰러지기도 한다."
질병,심근증증상,경증이라면 증상이 나타나지 않는 경우도 있지만 심기능이 약하면 배에 복수가 차서 부풀어 오르거나 맥박이 흐트러지거나 사지의 부종 등의 증상이 나타난다. 돌발적인 기침과 함께 호흡곤란에 빠지기도 하며 부정맥과 뇌의 혈류 저하 때문에 실신하거나 돌연사까지도 발생한다.
질병,심장사상충증증상,"심장사상충은 몸길이가 20~30cm 정도 되는 기생충으로, 심장과 그 주변의 굵은 혈관 속에 기생한다. 가벼운 기침으로 시작해서 질병이 진행되면 기침이 만성화되고 천식처럼 심해진다. 기침을 하면서 자극으로 복수가 차서 빵빵하게 부어오르기도 하며 호흡곤란이나 식욕부진, 운동을 싫어하는 등의 증상을 보이게 된다. 또 급성 심장사상충증으로 갑자기 심하게 호흡곤란이 오고 커피색 소변이 배출되기도 하고 심부전으로 생명을 잃기도 한다."
질병,동맥관개존증증상,"중증이 되면 금방 피곤하고 기침이나 구토, 호흡곤란 등의 증상이 나타난다. 치료를 하지 않으면 2~3년 후 대부분 사망하지만 6개월 내에 수술을 하면 정상견과 거의 다르지 않게 생활할 수 있다. 셔틀랜드 십독, 포메라니안, 미니어처 닥스훈트, 코기 등에게서 흔히 발견된다."
질병,폐동맥협착증증상,"가벼운 경우에는 쉽게 피곤해지는 정도지만 중증인 경우에는 호흡곤란이나 심한 기침, 부종 등이 생기고 심부전으로 사망하기도 한다."
질병,심실심방중격결손증증상|심실중격결손증증상|심방중격결손증증상,"정도가 가벼우면 정상적인 개와 별 차이 없이 무증상으로 성장하지만 심실에 구멍이 뚫려 있는 경우에는 금방 피곤해지고 기침, 호흡곤란, 구토 등의 증상이 나타나며 몸이 자라지 않기도 한다. 심방의 경우에는 심장사상충에 감염되었다면 주의해야 한다."
질병,부정맥증상,"경도인 경우에는 쉽게 피곤해지거나 호흡이 거칠어지는 정도지만, 심해지면 입술 등의 점막이 보라색이 되는 청색증을 일으키거나 실신하기도 한다."
질병,빈혈증상,"산소를 운반하는 적혈구가 줄어 몸속의 산소가 부족하기 때문에 쉽게 피곤해지고 식욕이 사라지며 운동을 싫어하게 된다. 안구 점막이나 잇몸 색이 살짝 하얘지거나, 피부나 점막이 노랗게 되는 황달 증상이 나타나기도 한다. 소변 색이 옅어지거나 간혹 피가 섞인 듯 적갈색이 된다."
질병,혈소판감소증증상,"입이나 코 등의 점막, 피부 등에 멍 같은 보라색 출혈반이 보인다. 중증인 경우 소변이나 대변에 피가 섞여 나오고 피를 토하거나 코피가 멈추지 않기도 한다. 채혈 뒤에 피가 멈추지 않아서 알게 되는 경우도 있다."
질병,바베시아증증상,감염에 의해 적혈구가 파괴되고 빈혈이 심해진다. 발열해서 입술 점막이 새파래지고 소변은 갈색이 된다. 간혹 점막이나 피부가 노랗게 되는 황달이 일어나기도 한다.
질병,비염증상,콧물이나 재채기가 나오는 것은 사람과 똑같다. 증상이 심해지면 점성이 강한 콧물이 나오고 간혹 코피가 나기도 한다. 아파서 코를 발로 문지르거나 바닥에 문지른다. 염증이 번지면 콧구멍이 좁아지기 때문에 숨을 쉬기가 괴로워지고 코 위가 부풀어 오르거나 눈곱이 생기기도 한다.
질병,부비강염증상,비염과 마찬가지로 재채기와 콧물이 나온다. 특히 탁한 고름 같은 콧물이 많아지고 호흡이 힘들기 때문에 입을 벌리고 숨을 쉬게 된다. 코 위가 부어 있거나 딱딱하게 부풀어 오르기도 한다.
질병,인두염증상,"증상이 심하면 기침이 심해지고 목의 통증 때문에 식욕이 없어지기도 한다. 짖으려고 해도 목이 쉬어서 소리가 나오지 않는 경우도 있고, 숨쉬기가 괴로워서 쌔액쌔액 소리를 내기도 한다."
질병,연구개과장증증상,숨 쉬기를 힘들어하고 야간에 코를 고는 것이 특징이다. 특히 한낮의 고온 때나 흥분했을 때에는 호흡이 빨라지고 쌔액쌔액거리며 괴로운 듯이 보인다. 간혹 연구개가 목을 완전히 막아서 무호흡 증상이 나타나기도 한다.
질병,기관허탈증상,흥분했을 때나 운동할 때 꽤엑꽤엑 거위 울음소리 같은 건조한 기침이 나오는 것이 전형적인 증상이다. 쌕쌕거리는 숨소리를 내고 호흡곤란을 일으키기도 한다. 특히 고온다습한 시기에 많이 발병한다. 심해지면 혀나 잇몸 색이 보라색이 되는 청색증 증상을 일으켜 쓰러지기도 한다.
질병,기관지염증상,"건조한 기침이 특징이며, 뭔가가 목을 막고 있거나 걸려 있어 토할 듯한 모습을 보인다. 콧물이나 열이 나는 경우도 있고 식욕이 감퇴한다. 기침이 심해지면 거품 상태의 점액을 구토하기도 한다."
질병,폐렴증상,기침이 나오는 일이 많고 하악거리는 괴로운 숨소리를 내기도 한다. 가슴에 귀를 대면 힘들게 쌔액쌔액거리는 건조한 소리가 들리기도 한다. 증상이 심해지면 고열이 나고 호흡이 얕고 빠르게 진행되어 호흡곤란까지 온다. 특히 새끼 등은 순식간에 악화되는 경우가 있으므로 주의해야 한다.
질병,폐수종증상,증상이 가벼울 때에는 이따금 기침이 나오는 정도지만 심해지면 밤새 멈추지 않기도 한다. 초기에는 물과 같은 콧물이 나오고 악화되면 피가 섞여 나오기도 한다. 호흡이 괴롭기 때문에 혀나 잇몸이 보라색이 되는 청색증이 나타나거나 목의 정맥에 튀어나와 보이기도 한다. 선 채로 있거나 계속 앉은 자세로 있고 눕기를 싫어한다면 심각한 증상이다.
질병,기흉증상,"호흡이 빠르고 얕아져서 괴로워한다. 증상이 심해지면 배로 숨을 쉬고 눕기를 싫어하고 운동도 싫어하고 앞다리를 버티고 움직이는 것을 피하게 된다. 호흡곤란이나, 혀나 입술이 보라색이 되는 청색증 증상이 나타나는 것은 위험한 상태이다."
질병,횡격막헤르니아증상|헤르니아증상,"사고 등으로 구멍이 뚫린 경우에는 증상이 가벼우면 운동을 싫어하거나 호흡이 거칠어지는 정도지만, 심한 경우에는 눕는 것을 싫어하고 호흡곤란이 오고 쇼크 상태에 빠지기도 한다. 유전적으로 발생하는 경우에는 새끼 때 구토나 설사, 기침, 빠른 호흡 등의 증상이 나타난다."
질병,흉막염증상,"열이 나거나 기침이 나오기도 하고 식욕이 저하되며 기운이 없어진다. 증상이 심해져 가슴 내부에 침출액이 쌓이면 호흡곤란이나, 혀나 입술이 보라색이 되는 청색증이 발생해 생명에 지장을 주기도 한다."
질병,거대식도증증상,음식물이나 물이 식도가 확장된 부분에 정체되어 위로 들어가지 않기 때문에 식후 몇 분에서 몇 시간 사이에 토하게 된다. 빈도는 다양하지만 일반적인 구토와 다르게 토할 때 반사적으로 음식물이 튀어나가는 토출이라는 구토증상이다. 음식물의 일부가 폐로 들어가 폐렴을 일으키는 경우도 종종 있다. 호흡곤란이나 발열을 동반하는 경우가 있고 점점 여위어간다.
질병,식도내이물증상,침이 흐르고 식도에서 더 이상 진행하지 못한 소화되지 않은 음식물을 토해낸다. 식욕부진을 일으키고 기운이 없어지지만 막히는 정도가 그리 심하지 않은 경우에는 발견이 늦어지기도 한다.
질병,급성위염증상,반복적으로 구토한다. 간혹 피가 섞여 있는 경우도 있고 토할 것이 없는데도 토하는 동작을 반복하는 경우도 있다. 물을 자주 마시고 다시 구토하는 경우가 있는데 그 결과 탈수증상을 일으킨다.
질병,만성위염증상,"매일이라고는 할 수 없지만 몇 주에 걸쳐 이따금 토하거나 식욕이 부진해서 마르는 것이 일반적인 증상이다. 구토는 식사와 상관없이 일어나고, 위점막이 짓무르거나 하면 피를 토하거나 변이 타르처럼 검은 경우도 있다."
질병,위확장과위염전증상|위확장증상|위염전증상,복부가 부풀어 올라 가라앉지 않고 고통스러워 보인다. 이따금 구토나 트림을 하고 침을 대량으로 흘리기도 한다. 또 위가 꼬인 위염전의 경우에는 토하려고 해도 토하지 못하고 침만 흘리면서 괴로워한다. 심한 통증 때문에 쇼크 상태에 빠지기도 한다.
질병,출혈성위장염증상,"악취가 나는 잼 같은 암적색 피가 섞인 변이 나온다. 구토를 하거나 피를 토하며 탈수증상을 일으키거나 호흡이나 심박이 빨라져서 쇼크 증상을 일으킬 수가 있다. 슈나우저나 닥스훈트, 토이 푸들, 말티즈 등의 소형견에게서 발병하는 경향이 크다."
질병,대장염증상,수분을 흡수하는 대장에 염증이 번지기 때문에 장성 설사는 수분이 많아지고 선혈이나 점액이 섞인다. 탈수증상을 일으키기도 한다.
질병,흡수불량증후군증상,"심해질 때까지는 기운도 있고 흡수하지 못하는 영양분을 보충하려고 하기 때문에 오히려 식욕이 왕성하기도 한데, 영양소의 대부분이 배설되기 때문에 변은 평소와 다른 상태가 계속된다. 곧이어 설사를 일으키게 되고 체중이 감소한다. 변이 부드럽고 기름기가 많이 섞여 나온다."
질병,장폐색증상,"음식물이 역류해서 심하게 구토를 하고 장이 확장되어 통증도 생긴다. 식욕이나 기운이 없어지고 설사를 일으키기도 한다. 장이 완전히 막혀버리면 복통이 심해지고, 체내에서의 수분대사도 저하되어 신장장애나 쇼크 증상 등 더 심각한 증상이 나타난다."
질병,급성간염증상,"구토나 설사를 일으키고 식욕이나 기운이 없어진다. 중증인 경우에는 눈이나 입이나 피부색이 노랗게 되는 황달이나 경련, 근력이 떨어져 비틀거리는 등의 증상이 나타난다. 의식이 혼탁해지거나 혼수상태가 되는 등의 신경증상이 나타나기도 한다. 만성 간염에서는 눈에 띄는 증상이 나타나지 않다가 질병이 상당히 진행된 후에야 배에 복수가 차거나 마르는 등의 증상을 보여 알게 되는 경우가 많다."
질병,췌염증상,식욕부진으로 구토와 설사를 반복한다. 설사는 출혈성인 경우도 있다. 중증인 경우에는 격통 때문에 쇼크 증상을 일으켜 사망에 이르기도 한다. 또 만성 췌염에서는 증상이 크게 나타나기 전에 질병이 진행된다.
질병,췌외분비부전증상,항상 허겁지겁 많이 먹는데도 불구하고 체중이 늘지 않고 마른다. 악취가 나는 지방성 변을 다량으로 보는 것도 특징이다. 설사도 자주 일으킨다.
질병,항문낭염증상,"항문부위를 바닥에 끌거나 핥는다. 심하면 염증 때문에 항문낭이 붓고, 배변 시 통증 때문에 비명을 지르기도 한다."
질병,항문주위염항문주위루증상,가려움이나 통증 등의 불쾌감 때문에 항문 주변을 핥거나 깨물어서 염증이 일어난다. 배변을 힘들어 한다. 항문주위루에서는 배변 시 출혈이나 농상의 분비물이 보인다.
질병,회음헤르니아증상,항문 한쪽 또는 양쪽이 크게 부풀어 오른다. 방광을 압박해서 배뇨가 곤란해지거나 튀어나온 직장이 굴곡져 있기 때문에 변의 이동이 부드럽지 않아 변비에 걸린다.
질병,소화기종양증상,질병이 상당히 진행될 때까지 증상이 나타나지 않는 경우도 많고 종양이 생긴 위치에 따라 증상이 다양하다. 일반적으로는 기운이 없어지고 체중이 감소하며 구토나 설사를 하고 배가 부풀어 오르는 등의 증상이 나타난다.
질병,급성신부전증상,"갑자기 기운이나 식욕이 완전히 사라진다. 이렇게 되기 전까지 다음, 다뇨 등의 증상을 보이다가 소변양이 적어지고, 어느 순간 전혀 나오지 않게 된다. 구토, 설사 등의 증상이 나타나고, 입이 바싹 마를 정도로 심한 탈수증상을 보이기도 한다. 체내에 독소가 쌓이면 요독증을 일으키고 경련 등의 신경증상이 나타난다. 사망률이 높고 만성 신부전으로 차츰 전이된다."
